"original","standardized","status"
"SM 26:0","SM(26:0)","Modified"
"Cer 36:4","Cer36:4","Modified"
"RIKEN P-VS1 ID-13122 from Mouse_Muscle_WT_CTX3_Ctr",NA,"Skipped"
"TAG 57:3","TG(57:3)","Modified"
"CL 72:8","CL(72:8)","Modified"
"TAG 58:12","TG(58:12)","Modified"
"TAG 16:2_23:0_24:2","TG(16:2/23:0/24:2)","Modified"
"CE 22:6","CE(22:6)","Modified"
"LPC O-22:1","LPCO-(LPCO-22:1)","Modified"
"PC O-44:10","PCO-(PCO-44:10)","Modified"
"RIKEN P-VS1 ID-7051 from Cell_HEK293_WT_N_Ctr",NA,"Skipped"
"Cer-NS d34:1","Cerd34:1","Modified"
"CE 18:1","CE(18:1)","Modified"
"CE 20:5","CE(20:5)","Modified"
"PS 22:6_22:6","PS(22:6/22:6)","Modified"
"PC 42:2","PC(42:2)","Modified"
"SM 34:0","SM(34:0)","Modified"
"PI 45:2","PI(45:2)","Modified"
"TAG 12:0_12:0_20:2","TG(12:0/12:0/20:2)","Modified"
"SM 29:0","SM(29:0)","Modified"
"SM 39:3","SM(39:3)","Modified"
"BMP 20:5_22:6","BMP(20:5/22:6)","Modified"
