"original","standardized","status"
"TAG 20:4_22:3_22:6","TG(20:4/22:3/22:6)","Modified"
"TAG 50:5","TG(50:5)","Modified"
"SM d34:2","SM(d34:2)","Modified"
"TAG 20:1_20:3_22:6","TG(20:1/20:3/22:6)","Modified"
"TAG 16:0/20:3/16:4","TG(16:0/20:3/16:4)","Modified"
"RIKEN P-VS1 ID-16343 from Mouse_Liver_WT_N_F1DHA",NA,"Skipped"
"SM d42:1","SM(d42:1)","Modified"
"TAG 18:4_19:1_24:2","TG(18:4/19:1/24:2)","Modified"
"TAG 56:2","TG(56:2)","Modified"
"TAG 14:1_19:0_22:1","TG(14:1/19:0/22:1)","Modified"
"RIKEN P-VS1 ID-18560 from Cell_C2C12_WT_N_24h10AA",NA,"Skipped"
"SM 33:0","SM(33:0)","Modified"
"TAG 16:1/18:2/18:3","TG(16:1/18:2/18:3)","Modified"
"TAG 48:2","TG(48:2)","Modified"
"DG 14:0_44:8","DG(14:0/44:8)","Modified"
"TAG 54:1","TG(54:1)","Modified"
"PC O-37:5","PCO-(PCO-37:5)","Modified"
"TAG 18:2/18:3/18:3 +[M+NH4]+","TG(18:2/18:3/18:3+[M+NH4]+)","Modified"
"LPE 18:0","LPE(18:0)","Modified"
"PC 34:4","PC(34:4)","Modified"
"TAG 15:0/18:2/18:2","TG(15:0/18:2/18:2)","Modified"
"Cer 44:4","Cer44:4","Modified"
"SM d40:0","SM(d40:0)","Modified"
"TAG 48:2","TG(48:2)","Modified"
"RIKEN P-VS1 ID-15168 from Mouse_Kidney_WT_N_F1AA",NA,"Skipped"
"CAR 18:1","CAR(18:1)","Modified"
"SM 30:0","SM(30:0)","Modified"
"Cer 42:2","Cer42:2","Modified"
"TAG 15:1_18:1_22:4","TG(15:1/18:1/22:4)","Modified"
"PC 38:5","PC(38:5)","Modified"
"TAG 50:6","TG(50:6)","Modified"
"DGTS 26:0_26:4","DGTS(26:0/26:4)","Modified"
"TAG 15:0_20:5_24:5","TG(15:0/20:5/24:5)","Modified"
"TAG O-18:1_16:1_16:1","TG(O-18:1/16:1/16:1)","Modified"
"TAG 19:2_20:5_22:6","TG(19:2/20:5/22:6)","Modified"
"TAG 16:0_18:1_19:0","TG(16:0/18:1/19:0)","Modified"
"Cer 36:2","Cer36:2","Modified"
"CE 13:0","CE(13:0)","Modified"
"20230830-Pos-unknown-13",NA,"Skipped"
"PC 36:5e","PC(36:5e)","Modified"
"TAG 44:1","TG(44:1)","Modified"
"TAG 50:3","TG(50:3)","Modified"
"TAG 12:0_22:0_24:1","TG(12:0/22:0/24:1)","Modified"
"PC 42:9","PC(42:9)","Modified"
"PC 40:6","PC(40:6)","Modified"
"DGGA 16:3_22:4","DGGA(16:3/22:4)","Modified"
"SM d42:4","SM(d42:4)","Modified"
"TAG 62:8","TG(62:8)","Modified"
"SM 44:2","SM(44:2)","Modified"
"PC 36:4","PC(36:4)","Modified"
"20230830-Pos-unknown-3",NA,"Skipped"
"PC 34:3","PC(34:3)","Modified"
"20230830-Pos-unknown-7",NA,"Skipped"
"LPE O-18:1","LPEO-(LPEO-18:1)","Modified"
"PC 40:8","PC(40:8)","Modified"
"SM 19:1","SM(19:1)","Modified"
"PI 36:2","PI(36:2)","Modified"
"RIKEN P-VS1 ID-11175 from Cell_HeLa_WT_N_Ctr",NA,"Skipped"
"Cer 40:5","Cer40:5","Modified"
"TAG 18:5_21:0_24:2","TG(18:5/21:0/24:2)","Modified"
"PI 45:0","PI(45:0)","Modified"
"TAG 48:1","TG(48:1)","Modified"
"SM 35:4","SM(35:4)","Modified"
"TAG 50:3","TG(50:3)","Modified"
"TAG 48:1","TG(48:1)","Modified"
"PC O-32:3","PCO-(PCO-32:3)","Modified"
"TAG 17:1_18:1_22:6","TG(17:1/18:1/22:6)","Modified"
"TAG 20:0_20:4_22:5","TG(20:0/20:4/22:5)","Modified"
"DG 38:3","DG(38:3)","Modified"
"SPB 17:0","SPB(17:0)","Modified"
"TAG 57:6","TG(57:6)","Modified"
"TAG 58:12","TG(58:12)","Modified"
"LPE 40:10","LPE(40:10)","Modified"
"BMP 40:6","BMP(40:6)","Modified"
"SM 41:1","SM(41:1)","Modified"
"TAG 16:0_16:2_16:2","TG(16:0/16:2/16:2)","Modified"
"PC O-35:6","PCO-(PCO-35:6)","Modified"
"CE 22:5","CE(22:5)","Modified"
"CAR 13:1","CAR(13:1)","Modified"
"TAG 16:1_16:1_18:2","TG(16:1/16:1/18:2)","Modified"
"TAG 20:2_22:5_22:5","TG(20:2/22:5/22:5)","Modified"
"TAG 55:7","TG(55:7)","Modified"
"LPE O-16:1","LPEO-(LPEO-16:1)","Modified"
"TAG 60:13","TG(60:13)","Modified"
"RIKEN P-VS1 ID-2071 from Mouse_Macrophage_WT_N_F1DHA",NA,"Skipped"
"PE O-16:4_4:0","PEO-(PEO-16:4/4:0)","Modified"
"PC O-29:1","PCO-(PCO-29:1)","Modified"
"TAG 15:0_22:2_24:4","TG(15:0/22:2/24:4)","Modified"
"SM 49:3","SM(49:3)","Modified"
