"variable_id"	"Alignment.ID"	"rt"	"mz"	"Compound.name"	"Adduct"	"Post_curation_result"	"zero_freq"	"zero_freq.1"	"zero_freq.2"	"zero_freq.3"	"zero_freq.4"	"note"	"All_identifications"	"lipid_class"
"57"	"lipid_57"	1583	334.38	911.56415	"PI 38:3"	"[M+H]+"	"adduct linked to 1620_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"PI 38:3"	"PI"
"58"	"lipid_58"	1743	929.22	980.81567	"DG 34:6_28:7"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"DG 34:6_28:7"	"DG"
"59"	"lipid_59"	1502	969.36	883.77618	"TAG(52:1)"	"[M+Na]+"	"ion correlated with 451; adduct linked to 1485_[M+NH4]+"	0	0	0	0	0	"[MS2 confirm]"	"TAG(52:1)"	"TAG"
"60"	"lipid_60"	1637	959.52	933.79102	"TAG 56:4"	"[M+Na]+"	"ion correlated with 1697; adduct linked to 1623_[M+NH4]+"	0	0	0	0	0	NA	"TAG 56:4|TAG 18:1_20:1_18:2"	"TAG"
"61"	"lipid_61"	1312	927.84	834.75793	"TAG 49:2"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG 49:2; TAG 15:0-16:1-18:1 and TAG 14:0-17:1-18:1"	"TAG"
"62"	"lipid_62"	1807	893.16	1020.80322	"TAG 20:2_22:6_22:6"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"TAG 20:2_22:6_22:6"	"TAG"
"63"	"lipid_63"	1562	969.24	904.83502	"TAG 54:2"	"[M+NH4]+"	"ion correlated with 1485; adduct linked to 1578_[M+Na]+"	0	0	0	0	0	NA	"TAG 54:2|TAG 16:0_18:1_20:1"	"TAG"
"64"	"lipid_64"	859	489.78	745.62115	"SM 37:1"	"[M+H]+"	NA	0	0	0	0	0	NA	"SM 37:1;2O|SM 18:1;2O/19:0"	"SM"
"65"	"lipid_65"	253	71.34	458.34824	"LDGTS 15:1"	"[M+H]+"	"similar chromatogram in higher mz_260"	0	0	0	0	0	"w/o MS2"	"LDGTS 15:1"	"LDGTS"
"66"	"lipid_66"	1612	953.76	923.75024	"RIKEN P-VS1 ID-15909 from Mouse_Plasma_ApoEKO_N_F1DHA"	"[M+K]+"	"adduct linked to 1556_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-15909 from Mouse_Plasma_ApoEKO_N_F1DHA"	"RIKEN"
"67"	"lipid_67"	632	561.6	676.5304	"PE(P-16:0/16:0)"	"[M+H]+"	"ion correlated with 1305; similar chromatogram in higher mz_1442"	0	0	0	0	0	"[MS2 confirm]"	"PE(P-16:0/16:0)"	"PE"
"68"	"lipid_68"	816	367.86	734.5611	"PC 32:0"	"[M+H]+"	NA	0	0	0	0	0	NA	"PC 32:0|PC 16:0_16:0"	"PC"
"69"	"lipid_69"	464	775.74	612.55786	"DAG 34:1"	"[M+NH4]+"	"adduct linked to 497_[M+CH3OH+H]+; adduct linked to 512_[M+H]+"	0	0	0	0	0	"[MS2 confirm]"	"DAG 34:1; DAG 16:0-18:1"	"DAG"
"70"	"lipid_70"	1744	921.6	980.81885	"TAG O-18:1_22:6_22:6"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"TAG O-18:1_22:6_22:6"	"TAG"
"71"	"lipid_71"	1461	936.84	869.70398	"RIKEN P-VS1 ID-14090 from Mouse_Feces_WT_ABX_Ctr"	"[M+K]+"	"adduct linked to 1381_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-14090 from Mouse_Feces_WT_ABX_Ctr"	"RIKEN"
"72"	"lipid_72"	1146	790.8	801.68518	"SM d41:1"	"[M+H]+"	"adduct linked to 1267_[M+Na]+"	0	0	0	0	0	"[MS2 confirm]"	"SM d41:1; SM d18:1/23:0"	"SM"
"73"	"lipid_73"	793	501.54	728.60339	"CerP 42:2"	"[M+H]+"	"adduct linked to 727_[M+H-H2O]+"	0	0	0	0	0	NA	"CerP 42:2;2O|CerP 18:1;2O/24:1"	"CerP"
"74"	"lipid_74"	1242	909.78	818.72589	"TAG 48:3"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG 48:3; TAG 14:1-16:1-18:1"	"TAG"
"75"	"lipid_75"	1281	610.32	826.57562	"LPE 44:10"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"LPE 44:10"	"LPE"
"76"	"lipid_76"	1323	944.4	836.77191	"TAG 49:1"	"[M+NH4]+"	"ion correlated with 1521; adduct linked to 1351_[M+Na]+; adduct linked to 1410_[M+K]+"	0	0	0	0	0	"[MS2 confirm]"	"TAG 49:1|TAG 15:0_16:0_18:1"	"TAG"
"77"	"lipid_77"	1173	909.48	806.72607	"TAG 47:2"	"[M+NH4]+"	"ion correlated with 1302; similar chromatogram in higher mz_1670; similar chromatogram in higher mz_1818"	0	0	0	0	0	NA	"TAG 47:2|TAG 13:0_17:1_17:1"	"TAG"
"78"	"lipid_78"	1050	363.12	782.57117	"PC 36:4"	"[M+H]+"	"adduct linked to 1158_[M+Na]+"	0	0	0	0	0	"[MS2 confirm]"	"PC 36:4; PC 16:0-20:4 -B"	"PC"
"79"	"lipid_79"	1428	928.74	860.77368	"TAG 51:3"	"[M+H]+"	"similar chromatogram in higher mz_1883"	0	0	0	0	0	"[MS2 confirm]"	"TAG 51:3; TAG 16:1-17:1-18:1"	"TAG"
"80"	"lipid_80"	839	389.46	739.57184	"SM 35:1"	"[M+Na]+"	"found in higher mz's MsMs_1060; found in higher mz's MsMs_938; found in higher mz's MsMs_961; adduct linked to 749_[M+H]+"	0	0	0	0	0	"[MS2 confirm]"	"SM 35:1;2O"	"SM"
"81"	"lipid_81"	213	67.02	412.34244	"CAR 17:1"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"CAR 17:1"	"CAR"
"82"	"lipid_82"	1177	484.14	808.58557	"PC 36:2"	"[M+Na]+"	"adduct linked to 1268_[M+K]+; found in higher mz's MsMs_1268"	0	0	0	0	0	NA	"PC 36:2"	"PC"
"83"	"lipid_83"	1141	673.62	799.67389	"SM d41:2"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"SM d41:2; SM d18:1/23:1"	"SM"
"84"	"lipid_84"	1291	902.88	830.72516	"TAG 16:1_16:2_17:1"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"TAG 16:1_16:2_17:1"	"TAG"
"85"	"lipid_85"	1414	485.16	858.59625	"PC 40:5"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"PC 40:5"	"PC"
"86"	"lipid_86"	1401	269.1	854.57129	"PC 42:10"	"[M+H]+"	NA	0	0	0	0	0	"[MS2 confirm]"	"PC 42:10; PC 20:4-22:6"	"PC"
"87"	"lipid_87"	1729	945.84	974.76715	"PE 15:0_38:6"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"PE 15:0_38:6"	"PE"
"88"	"lipid_88"	1753	921.84	986.8147	"TAG 16:3_21:2_24:5"	"[M+CH3OH+H]+"	"adduct linked to 1688_[M+H]+"	0	0	0	0	0	"w/o MS2"	"TAG 16:3_21:2_24:5"	"TAG"
"89"	"lipid_89"	747	403.86	717.57336	"SM 35:1"	"[M+H]+"	NA	0	0	0	0	0	NA	"SM 35:1;2O|SM 18:0;2O/17:1"	"SM"
"90"	"lipid_90"	1536	914.1	891.68872	"RIKEN P-VS1 ID-14882 from Mouse_Spleen_WT_N_F1"	"[M+K]+"	"ion correlated with 1475; adduct linked to 1465_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-14882 from Mouse_Spleen_WT_N_F1"	"RIKEN"
"91"	"lipid_91"	1577	358.68	909.54749	"PI 38:4"	"[M+Na]+"	"adduct linked to 1560_[M+H]+"	0	0	0	0	0	"w/o MS2"	"PI 38:4"	"PI"
"92"	"lipid_92"	1597	915.78	917.7027	"RIKEN P-VS1 ID-15745 from Mouse_Muscle_WT_N_F1DHA"	"[M+K]+"	"adduct linked to 1543_[M+NH4]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-15745 from Mouse_Muscle_WT_N_F1DHA"	"RIKEN"
"93"	"lipid_93"	666	573.18	689.51184	"SM 32:2"	"[M+H]+"	"similar chromatogram in higher mz_709"	0	0	0	0	0	NA	"SM 32:2;3O"	"SM"
"94"	"lipid_94"	761	415.5	719.57892	"SM 34:1"	"[M+H]+"	NA	0	0	0	0	0	NA	"SM 34:1;3O"	"SM"
"95"	"lipid_95"	1658	907.68	941.70276	"RIKEN P-VS1 ID-16401 from Mouse_Plasma_WT_N_F1DHA"	"[M+K]+"	"ion correlated with 1615; adduct linked to 1602_[M+NH4]+; adduct linked to 1615_[M+Na]+"	0	0	0	0	0	"w/o MS2"	"RIKEN P-VS1 ID-16401 from Mouse_Plasma_WT_N_F1DHA"	"RIKEN"
"96"	"lipid_96"	1632	899.16	932.76715	"TAG 18:4_19:1_20:4"	"[M+H]+"	NA	0	0	0	0	0	"w/o MS2"	"TAG 18:4_19:1_20:4"	"TAG"
"97"	"lipid_97"	1438	976.26	862.82538	"TAG O-52:2"	"[M+H]+"	"ion correlated with 1600; similar chromatogram in higher mz_1538; similar chromatogram in higher mz_1600"	0	0	0	0	0	"[MS2 confirm]"	"TAG O-52:2|TAG O-18:1_16:0_18:1"	"TAG"
